,md_earn_wne_p6,PREDDEG,HIGHDEG,CONTROL,NUMBRANCH,AVGFACSAL,TUITFTE,UGDS,UGDS_NRA,PPTUG_EF,UG25abv,PAR_ED_PCT_1STGEN,DEP_INC_AVG,IND_INC_AVG,COMP_ORIG_YR2_RT,WDRAW_ORIG_YR2_RT,ENRL_ORIG_YR2_RT,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,ENRL_ORIG_YR4_RT,OVERALL_YR2_N,OVERALL_YR3_N,OVERALL_YR4_N,OVERALL_YR6_N,OVERALL_YR8_N,count_nwne_p6,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN
10,24600,Predominantly associate's-degree granting,Associate degree,Public,1,4610,4527,1843,0.0,0.4748,0.4012,0.519742883,32980.0694,20324.52322,0.062767475036,0.188302425107,0.174037089872,0.062608695652,0.064347826087,0.029565217391,701,656,575,567,535,110,3500.0,4999.5,3012.0
11,27500,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,4,3711,13482,411,0.0024,0.3771,0.5207,0.497502775,51856.86919,40036.11134,0.135697764071,0.454895913647,0.196607555898,0.251295336788,0.347150259067,0.039723661485,1297,1204,1158,741,669,149,10397.5,24256.0,7500.0
12,23500,Predominantly associate's-degree granting,Associate degree,Public,1,5272,1604,3102,0.0,0.334,0.2692,0.511087645,47060.8987,24122.27056,0.074696545285,0.266106442577,0.1279178338,0.078920041537,0.210799584631,0.022845275182,1071,1083,963,611,562,125,3622.5,5250.0,3500.0
13,25200,Predominantly associate's-degree granting,Associate degree,Public,1,4903,1799,4786,0.0,0.3702,0.3845,0.614952615,42478.84138,25538.46564,0.025316455696,0.185405807893,0.219657483246,0.013949433304,0.044463818657,0.05754141238,1343,1369,1147,837,925,243,5250.0,3000.0,5292.0
14,31300,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5943,3944,7159,0.008,0.2018,0.2561,0.428145695,56127.87516,27479.06339,0.016647531573,0.361653272101,0.366819747417,0.081746920493,0.463045912654,0.137178051512,1742,1706,1786,1509,1239,198,11000.0,13750.0,11000.0
15,27600,Predominantly associate's-degree granting,Associate degree,Public,1,5053,2262,5850,0.0176,0.5231,0.3499,0.512435847,43129.89072,24967.1991,0.049222797927,0.22603626943,0.183937823834,0.088488645262,0.167580266249,0.032106499608,1544,1464,1277,960,879,173,3937.5,7000.0,3500.0
16,31900,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5107,4521,1727,0.0139,0.1204,0.1901,0.495642702,43747.42753,22196.24702,0.120593692022,0.237476808905,0.376623376623,0.228511530398,0.293501048218,0.071278825996,539,476,477,428,487,55,9625.0,15068.5,7000.0
17,32400,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,4181,6866,1549,0.0381,0.1782,0.348,0.419856459,71944.12191,28535.7754,0.147252747253,0.254945054945,0.327472527473,0.243947858473,0.353817504655,0.055865921788,455,548,537,545,478,77,14250.0,18750.0,10781.5
18,30300,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5179,4464,2558,0.0192,0.0864,0.1288,0.398565574,67375.58898,28573.44719,0.121495327103,0.203738317757,0.431775700935,0.425287356322,0.195402298851,0.080459770115,535,573,522,513,484,62,10937.0,14565.5,6250.0
19,22200,Predominantly associate's-degree granting,Associate degree,Public,1,4986,1641,3380,0.0,0.3692,0.3336,0.641199774,34810.65449,22193.10217,0.055555555556,0.258169934641,0.18137254902,0.099865047233,0.245614035088,0.026990553306,1224,1393,1482,794,866,193,5250.0,7590.0,5250.0
20,31200,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5824,4164,5016,0.0592,0.1208,0.1948,0.447932237,62141.95138,27108.08491,0.069090909091,0.258181818182,0.409090909091,0.265384615385,0.277884615385,0.1125,1100,1046,1040,989,883,112,9938.0,16500.0,7000.0
21,25400,Predominantly associate's-degree granting,Associate degree,Public,1,5325,1981,1877,0.0,0.48,0.3938,0.65821501,33039.03419,21568.87115,0.030395136778,0.065349544073,0.223404255319,0.021276595745,0.017730496454,0.033687943262,658,649,564,402,357,98,3175.0,3500.0,3000.0
22,37100,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,6840,11793,2879,0.0052,0.0504,0.0802,0.188359788,107506.4398,27653.81114,0.160751565762,0.116910229645,0.469728601253,0.648148148148,0.12037037037,0.025925925926,479,478,540,465,452,32,13625.0,15222.0,6625.0
23,33400,Predominantly bachelor's-degree granting,Graduate degree,Public,1,6135,3749,9957,0.0495,0.2488,0.2977,0.43417845,59885.04402,24838.46262,0.099263112267,0.316428261812,0.351105331599,0.283154121864,0.274641577061,0.121863799283,2307,2276,2232,1826,1745,191,12697.5,18536.0,9786.0
24,33400,Predominantly bachelor's-degree granting,Graduate degree,Public,9,5282,4926,18501,0.0222,0.5468,0.6098,0.470487257,53759.59011,30976.61406,0.051470588235,0.274411764706,0.342058823529,0.107325383305,0.3066439523,0.13202725724,3400,2842,2348,1429,1821,211,11042.0,17250.0,10813.0
25,29000,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,5258,12120,2510,0.0112,0.0474,0.055,0.260188088,55043.37796,4613.231681,0.038112522686,0.203266787659,0.413793103448,0.323099415205,0.203216374269,0.141812865497,551,770,684,636,752,55,12897.5,18862.5,7500.0
26,32300,Predominantly bachelor's-degree granting,Graduate degree,Public,2,6296,3580,10064,0.023,0.3877,0.4512,0.391910739,75534.08856,32243.28816,0.061830574489,0.346640701071,0.32570593963,0.142594859241,0.334761321909,0.13035495716,2054,2016,1634,1228,1207,303,9247.0,14500.0,7500.0
27,29600,Predominantly bachelor's-degree granting,Graduate degree,Public,1,6546,4115,4862,0.0212,0.3163,0.4452,0.406926407,73420.35597,25547.38914,0.060575968222,0.313803376365,0.283018867925,0.212962962963,0.290509259259,0.115740740741,1007,900,864,734,650,154,7750.0,11000.0,6625.0
28,28800,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5564,3537,1280,0.0266,0.4281,0.5534,0.356617647,72646.37975,28147.55898,0.105610561056,0.326732673267,0.23102310231,0.146443514644,0.384937238494,0.066945606695,303,308,239,170,183,40,7838.5,15183.0,6625.0
29,32300,Predominantly associate's-degree granting,Associate degree,Public,2,7319,1176,113,0.0265,0.5221,0.5395,0.391910739,75534.08856,32243.28816,0.061830574489,0.346640701071,0.32570593963,0.142594859241,0.334761321909,0.13035495716,2054,2016,1634,1228,1207,303,9247.0,14500.0,7500.0
30,29300,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,1,3624,11614,979,0.0,0.0,0.2247,0.429650614,59564.46833,20293.81106,0.313122923588,0.421096345515,0.119601328904,0.555197421434,0.280419016922,0.008058017728,1204,1153,1241,1454,853,225,8875.0,17469.0,5291.0
31,41800,Predominantly bachelor's-degree granting,Graduate degree,Public,3,8421,6468,39649,0.0273,0.1747,0.1678,0.35041816,82096.32725,28132.94807,0.163289760349,0.19825708061,0.414923747277,0.420957651588,0.220644850818,0.098291626564,9180,8639,8312,6717,6061,709,13285.0,15024.0,10657.5
32,39100,Predominantly bachelor's-degree granting,Graduate degree,Public,1,8399,6317,28023,0.0275,0.1225,0.1195,0.301002148,83421.06437,20881.67467,0.077826086957,0.189130434783,0.486086956522,0.25975177305,0.314273049645,0.105718085106,4600,4537,4512,4108,3903,403,12084.0,14637.0,11000.0
33,25800,Predominantly certificate-degree granting,Associate degree,Public,1,5225,862,4155,0.0051,0.5764,0.5744,0.532342007,34490.30205,22200.18867,0.042194092827,0.193037974684,0.179324894515,0.048655569782,0.140845070423,0.052496798976,948,695,781,591,500,131,4868.0,6250.0,4462.0
34,26200,Predominantly associate's-degree granting,Associate degree,Public,1,4897,624,3272,0.0021,0.6024,0.4761,0.530112508,31352.76266,19896.42966,0.022817460317,0.082341269841,0.195436507937,0.068932038835,0.157281553398,0.066019417476,1008,1118,1030,968,982,247,6125.0,7000.0,5966.0
35,43500,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,3,6031,13468,1644,0.0286,0.1095,0.0926,0.318125771,93446.83371,36222.52787,0.014023210832,0.262572533849,0.450676982592,0.06036036036,0.52972972973,0.084684684685,2068,2027,2220,2008,1955,139,11375.0,16688.0,11221.0
36,41400,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,1,5067,5483,2066,0.0189,0.4545,0.4969,0.430107527,83326.98869,54593.24539,0.166071428571,0.225,0.380357142857,0.3,0.311904761905,0.035714285714,560,489,420,452,353,54,11000.0,17125.0,8835.5
37,30800,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,8,3063,23230,2853,0.0,0.0,0.5345,0.547121634,45012.1529,25132.29932,0.463806970509,0.312064343164,0.029490616622,0.467281380131,0.293872694825,0.002974419988,3730,3861,3362,2471,1729,446,6729.0,12233.5,4625.0
38,29700,Predominantly certificate-degree granting,Associate degree,Public,2,7366,1216,6767,0.009,0.8432,0.5794,0.518248175,38965.30905,24137.72629,0.046699875467,0.281444582814,0.110211706102,0.044630404463,0.177824267782,0.034867503487,1606,1753,1434,895,719,252,6625.0,12114.0,6625.0
39,32600,Predominantly associate's-degree granting,Associate degree,Public,1,7434,1473,7621,0.0097,0.6483,0.3768,0.425017668,52334.3042,23189.60526,0.012406947891,0.318294608617,0.147755470336,0.021937225785,0.234222072224,0.037124535943,4433,3768,2963,2540,2783,482,6125.0,7500.0,6125.0
40,33000,Predominantly associate's-degree granting,Bachelor's degree,Private for-profit,2,4487,14720,469,0.0,0.2793,0.4925,0.520123839,46682.4719,22686.41943,0.057488653555,0.599092284418,0.163388804841,0.415765069552,0.262751159196,0.017001545595,661,524,647,542,392,85,7500.0,21125.0,6125.0
41,37600,Predominantly bachelor's-degree granting,Graduate degree,Public,1,6308,4043,13115,0.021,0.1555,0.2359,0.356925161,82142.76371,27595.26353,0.155721716515,0.204161248375,0.410923276983,0.40344603381,0.220091027308,0.081599479844,3076,3050,3076,2979,2746,309,11500.0,14337.5,8875.0
42,41400,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,5,4624,7374,857,0.0,0.8938,0.8376,0.46701847,73265.0874,50725.29206,0.099435028249,0.424858757062,0.319774011299,0.179954441913,0.504555808656,0.054669703872,885,877,878,789,590,102,15750.0,18884.0,15750.0
43,30300,Predominantly certificate-degree granting,Associate degree,Public,1,7428,1249,4268,0.0094,0.6078,0.5261,0.555727554,34945.57197,19964.82327,0.012075134168,0.292933810376,0.166815742397,0.023579849946,0.222400857449,0.039657020364,2236,2067,1866,1563,1510,332,5500.0,7500.0,5406.5
44,55800,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,63,3183,8184,5898,0.0627,0.0,0.8622,0.497240984,61269.11256,46183.99855,0.03330791822,0.486967694567,0.303992996724,0.184463497012,0.503767212263,0.123343725643,70824,55819,46188,26839,18696,2524,10500.0,24938.0,7500.0
45,27000,Predominantly certificate-degree granting,Associate degree,Public,1,5626,1259,25113,0.0094,0.6669,0.4134,0.482389847,37769.07615,19082.68557,0.072623239437,0.209286971831,0.188160211268,0.120217288616,0.217288615966,0.046055739254,4544,4456,4234,3428,3747,835,6625.0,8285.0,5849.0
46,33500,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,4188,7182,752,0.0013,0.0891,0.4981,0.284860558,93508.21477,28650.93385,0.168582375479,0.417624521073,0.302681992337,0.282958199357,0.446945337621,0.067524115756,261,280,311,294,303,56,13625.5,15125.0,12750.0
47,32600,Predominantly certificate-degree granting,Associate degree,Public,1,7645,1849,857,0.0,0.7083,0.4567,0.428607277,51806.39061,30351.27351,0.059884559885,0.287157287157,0.105339105339,0.045882352941,0.109411764706,0.04,1386,949,850,586,378,164,5250.0,7750.0,4968.0
48,33200,Predominantly associate's-degree granting,Associate degree,Public,1,7286,1829,2695,0.0108,0.5666,0.4172,0.365164248,57962.46016,24378.86211,0.018300653595,0.358169934641,0.121568627451,0.028391167192,0.283123028391,0.03785488959,1530,1455,1268,912,865,176,6125.0,7500.0,6125.0
49,41500,Predominantly certificate-degree granting,Certificate degree,Private for-profit,5,3995,5624,3516,0.0009,0.0,0.134,0.485141732,71658.2156,24881.86774,0.720255800119,0.212076145152,0.017102914932,0.764453420853,0.189093663216,0.0,6724,5952,3961,3352,2739,379,6125.0,7245.0,3313.0
50,25500,Predominantly associate's-degree granting,Associate degree,Public,1,4784,1819,4035,0.0002,0.6895,0.6497,0.487839771,34083.59764,17500.74149,0.049065420561,0.191588785047,0.141355140187,0.036585365854,0.158536585366,0.036585365854,856,830,738,617,680,186,3826.0,6625.0,3313.0
51,30300,Predominantly bachelor's-degree granting,Graduate degree,Public,1,6131,4720,9349,0.015,0.3851,0.4804,0.441633267,52611.77583,24841.04443,0.062360801782,0.357683741648,0.304677060134,0.130046948357,0.371830985915,0.140375586854,2245,2061,2130,1782,1691,244,11960.0,20414.5,10375.0
52,36200,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7288,4778,13654,0.0192,0.1534,0.1346,0.334097684,81293.76764,24482.45369,0.088637435172,0.198491277699,0.49033474776,0.277927927928,0.326126126126,0.111261261261,2121,2066,2220,2067,1907,239,13581.0,16500.0,10500.0
53,22600,Predominantly bachelor's-degree granting,Graduate degree,Public,1,4820,1620,3100,0.0068,0.0887,0.1865,0.458439898,35402.63114,15045.83678,0.030687830688,0.332275132275,0.344973544974,0.206331877729,0.312227074236,0.118995633188,945,903,916,838,832,126,9938.0,20875.0,7875.0
54,28300,Predominantly bachelor's-degree granting,Graduate degree,Public,3,5592,2638,8650,0.0096,0.1765,0.2806,0.533385703,50322.702,22702.50765,0.088813559322,0.290508474576,0.301355932203,0.220264317181,0.257709251101,0.087279735683,2950,3597,3632,2872,2801,440,10500.0,16248.0,7248.0
55,31100,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5265,2795,6162,0.0201,0.1303,0.2149,0.516230367,53638.23741,22788.30704,0.088397790055,0.281767955801,0.365868631062,0.255304101839,0.265912305516,0.106082036775,1629,1714,1414,1092,789,148,8930.0,14500.0,6620.0
56,27500,Predominantly bachelor's-degree granting,Graduate degree,Public,1,4730,1410,2788,0.0018,0.2027,0.2636,0.604307692,42785.10702,19791.79259,0.033073929961,0.423151750973,0.224708171206,0.176128093159,0.377001455604,0.066957787482,1028,947,687,635,571,80,6030.0,13750.0,4819.0
57,32000,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5416,2886,9909,0.0219,0.0794,0.1227,0.440877598,62179.18257,19522.79374,0.075668896321,0.251254180602,0.369147157191,0.341856586993,0.212896053363,0.103390772651,2392,1867,1799,1605,1477,165,9625.0,14825.0,6626.0
58,18100,Predominantly associate's-degree granting,Associate degree,Public,1,4610,895,1268,0.0008,0.4132,0.4746,0.658841941,22841.43524,18437.33121,0.040254237288,0.059322033898,0.186440677966,0.042792792793,0.04954954955,0.042792792793,472,511,444,406,321,83,1416.0,2279.0,1312.0
59,21300,Predominantly associate's-degree granting,Associate degree,Public,1,4381,1278,2153,0.0,0.4412,0.4672,0.547387068,30572.28554,18571.94561,0.042119565217,0.130434782609,0.202445652174,0.064356435644,0.113861386139,0.061056105611,736,727,606,444,370,110,3887.5,4178.5,3794.0
60,22700,Predominantly associate's-degree granting,Associate degree,Public,1,3784,834,1007,0.0,0.4062,0.4689,0.657587549,35727.85246,22446.03312,0.095137420719,0.270613107822,0.181818181818,0.037558685446,0.208920187793,0.091549295775,473,491,426,278,288,86,5123.0,6093.5,4875.0
61,33200,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,2,5418,7420,4124,0.0359,0.0572,0.0582,0.228476821,92732.76799,24476.21942,0.042988741044,0.109518935517,0.611054247697,0.470085470085,0.173076923077,0.081196581197,977,1017,936,870,826,111,16018.0,17875.0,8708.0
62,29200,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5350,4413,2728,0.0231,0.1158,0.203,0.484848485,54111.72295,20700.67546,0.106002554278,0.260536398467,0.369093231162,0.236966824645,0.244075829384,0.120853080569,783,790,844,729,701,89,10500.0,14630.0,9225.0
63,40000,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,4983,8032,1608,0.0628,0.0174,0.2839,0.319599109,76234.24094,52842.93521,0.155210643016,0.144124168514,0.532150776053,0.585542168675,0.212048192771,0.024096385542,451,441,415,373,326,36,15597.0,15750.0,11189.5
64,20900,Predominantly associate's-degree granting,Associate degree,Public,1,4293,846,1559,0.0,0.406,0.4628,0.656699889,23746.64006,19620.255,0.052039381153,0.087201125176,0.150492264416,0.039745627981,0.073131955485,0.039745627981,711,825,629,535,441,126,4170.0,6125.0,3500.0
65,23800,Predominantly associate's-degree granting,Associate degree,Public,1,4712,651,1715,0.0,0.3481,0.4102,0.59981685,32093.64723,17577.40667,0.109589041096,0.193302891933,0.153729071537,0.134868421053,0.152960526316,0.055921052632,657,677,608,487,401,155,5687.0,7000.0,5250.0
66,19600,Predominantly associate's-degree granting,Associate degree,Public,1,3521,874,781,0.0,0.2254,0.4226,0.647787611,37512.58974,15638.50547,0.081325301205,0.234939759036,0.10843373494,0.173669467787,0.156862745098,0.033613445378,332,370,357,212,192,90,6625.0,12363.0,5937.5
67,22100,Predominantly associate's-degree granting,Associate degree,Public,1,3847,1119,1653,0.0,0.2577,0.3519,0.572874494,38766.18386,19877.41592,0.055649241147,0.141652613828,0.155143338954,0.092362344583,0.106571936057,0.035523978686,593,602,563,500,181,100,3000.0,4344.0,3000.0
68,19900,Predominantly certificate-degree granting,Associate degree,Public,1,4082,637,1389,0.0,0.4053,0.3393,0.61892247,23738.58536,14249.33037,0.037453183521,0.095505617978,0.23595505618,0.059322033898,0.076271186441,0.089830508475,534,570,590,455,432,116,3500.0,5812.5,2625.0
69,24500,Predominantly associate's-degree granting,Associate degree,Public,1,4471,1129,6794,0.0031,0.4291,0.5632,0.525531395,40621.8929,20360.12609,0.045676274945,0.433259423503,0.234589800443,0.069351230425,0.374347501864,0.10514541387,2255,1846,1341,1030,781,212,9938.0,13610.0,9875.0
70,20400,Predominantly certificate-degree granting,Associate degree,Public,1,4062,1352,923,0.0022,0.3944,0.3943,0.670731707,29129.22106,18342.19548,0.072192513369,0.090909090909,0.128342245989,0.042713567839,0.150753768844,0.032663316583,374,413,398,342,492,91,3194.0,3500.0,2625.0
71,29300,Predominantly bachelor's-degree granting,Graduate degree,Public,1,5004,2285,2683,0.0537,0.1047,0.2222,0.516399695,45964.57839,19236.27211,0.078616352201,0.272012578616,0.350628930818,0.243697478992,0.219887955182,0.119047619048,636,681,714,634,552,78,8000.0,12622.5,5500.0
72,23600,Predominantly associate's-degree granting,Bachelor's degree,Public,1,5215,1639,5912,0.0007,0.3517,0.3607,0.518181818,44897.48483,22962.09869,0.055011303693,0.223813112283,0.3142426526,0.110619469027,0.136283185841,0.13185840708,1327,1431,1130,785,830,216,6625.0,11210.0,5940.0
73,30800,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,1,5929,17493,6596,0.1507,0.3654,0.3979,0.323232323,77675.03869,31056.81874,0.058186738836,0.290933694181,0.435047361299,0.193173002327,0.372381691234,0.146625290923,1478,1237,1289,1083,958,177,10456.0,23625.0,6725.0
74,24500,Predominantly associate's-degree granting,Associate degree,Public,1,6908,579,5703,0.0011,0.619,0.516,0.614500442,28275.56004,16416.13282,0.022164276402,0.06518904824,0.199478487614,0.027672955975,0.038993710692,0.033962264151,767,752,795,1022,695,294,5000.0,5250.0,4745.0
75,39500,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,6,4450,12002,1528,0.0,0.3992,0.2873,0.512090887,49482.46129,35590.20167,0.309746181738,0.39605537853,0.131578947368,0.468566904196,0.319556611243,0.014093428345,18202,11536,6315,1261,731,204,8667.0,21000.0,6175.0
76,22500,Predominantly associate's-degree granting,Associate degree,Public,1,6916,438,7225,0.0021,0.6552,0.3886,0.522077922,24655.53313,11398.17752,0.039735099338,0.160264900662,0.251655629139,0.067047075606,0.12910128388,0.06847360913,1510,1518,1402,1067,1043,360,6625.0,8052.5,6500.0
77,41900,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,5444,23692,1499,0.1594,0.1321,0.453,0.221407625,79387.74335,20960.2226,0.072,0.162666666667,0.693333333333,0.626702997275,0.136239782016,0.111716621253,375,345,367,327,294,75,27906.5,31125.0,14125.0
78,46700,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,6069,15700,4602,0.0174,0.1423,0.1443,0.303366488,104615.2217,56114.65723,0.149966375252,0.232010759919,0.465366509751,0.467778620167,0.290371493556,0.024260803639,1487,1499,1319,1241,1021,99,15125.0,15938.5,15076.0
79,31400,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,4950,9183,515,0.0175,0.233,0.2485,0.374622357,77841.98701,38166.60772,0.092682926829,0.278048780488,0.326829268293,0.2,0.384615384615,0.082051282051,205,209,195,183,193,40,11524.0,14500.0,11000.0
80,37200,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,6379,13239,3589,0.024,0.1181,0.1418,0.251826869,98224.90929,46061.1742,0.076062639821,0.149888143177,0.595078299776,0.413381123059,0.253285543608,0.069295101553,894,794,837,700,565,57,14375.0,16500.0,12409.0
81,27800,Predominantly bachelor's-degree granting,Graduate degree,Private for-profit,1,5064,10667,2467,0.0255,0.0,0.2525,0.30754717,99522.33062,19980.10055,0.109696376102,0.307541625857,0.393731635651,0.423636363636,0.34,0.056363636364,1021,782,550,212,67,33,15125.0,21593.5,7500.0
82,25500,Predominantly certificate-degree granting,Associate degree,Public,1,7364,553,7396,0.0118,0.4164,0.3787,0.496618358,32570.1636,13062.30569,0.016710182768,0.190600522193,0.250652741514,0.045912653975,0.18085106383,0.07110862262,1915,2010,1786,1660,1648,468,6000.0,7000.0,5937.0
83,38500,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,6212,11655,2392,0.0121,0.1739,0.2737,0.372313527,90336.03143,49030.50402,0.124835742444,0.206307490145,0.479632063075,0.440134907251,0.247892074199,0.064080944351,761,682,593,559,637,62,17125.0,17125.5,17125.0
84,31900,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,1,5122,18688,1312,0.0694,0.064,0.3004,0.202614379,88105.78632,23622.26006,0.111111111111,0.16975308642,0.518518518519,0.464566929134,0.200787401575,0.094488188976,324,306,254,254,214,43,18062.5,22250.0,11062.0
85,49800,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7671,3746,17509,0.0094,0.0515,0.0628,0.272055427,98878.68623,17493.4659,0.032825880114,0.133682207422,0.677925784967,0.169632265718,0.438117833136,0.188216686437,2102,2191,2529,2542,2192,159,14500.0,15301.0,14389.0
86,40600,Predominantly bachelor's-degree granting,Graduate degree,Public,1,6967,2473,5998,0.0192,0.1831,0.2843,0.554878049,49517.94522,25072.48795,0.089082384461,0.260549229739,0.371734762224,0.192524682652,0.342736248237,0.127644569817,1493,1525,1418,1212,972,127,8445.0,9896.5,8250.0
87,41100,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7380,2245,12686,0.0302,0.1778,0.3056,0.504924242,52048.91691,25491.70555,0.164173659248,0.129514775629,0.489967165268,0.329787234043,0.209334248456,0.159917638984,2741,3183,2914,2529,2227,273,15953.5,16108.0,15333.0
88,40900,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7550,2973,14525,0.0157,0.0996,0.1577,0.377452037,78915.66821,17395.77427,0.116796875,0.166796875,0.5,0.215650257164,0.357457751653,0.123438648053,2560,2561,2722,2765,2510,256,11731.0,13500.0,11000.0
89,41000,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7560,3008,9071,0.0216,0.4093,0.4791,0.529993618,40868.68837,26895.37358,0.150943396226,0.165318957772,0.421832884097,0.287409700722,0.176986584107,0.168214654283,2226,1910,1938,1755,1649,202,10500.0,11644.0,8964.0
90,38300,Predominantly bachelor's-degree granting,Graduate degree,Public,1,7104,2993,17557,0.0318,0.1538,0.1939,0.483531475,50227.33204,22235.01684,0.106981981982,0.140484234234,0.526745495495,0.207675642216,0.26988548437,0.181677499226,3552,3373,3231,2821,2710,286,11000.0,12369.5,10500.0
